sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary
1,M,91,Commerce,58,Sci&Tech,55,Mkt&HR,58.8,270000
2,M,78.33,Science,77.48,Sci&Tech,86.5,Mkt&Fin,66.28,200000
3,M,,Arts,64,Comm&Mgmt,75,Mkt&Fin,57.8,250000
4,M,52,Science,,Sci&Tech,66,Mkt&HR,59.43,
5,M,73.6,Commerce,73.3,Comm&Mgmt,96.8,Mkt&Fin,55.5,425000
6,M,49.8,Science,67.25,Sci&Tech,55,Mkt&Fin,51.58,
7,F,49.2,Commerce,79,Comm&Mgmt,74.28,Mkt&Fin,53.29,
8,M,64,Science,66,Sci&Tech,67,Mkt&Fin,62.14,252000
9,M,79,Commerce,72,Comm&Mgmt,91.34,Mkt&Fin,61.29,231000
10,M,70,Commerce,61,Comm&Mgmt,54,Mkt&Fin,52.21,
11,M,,Commerce,60,Comm&Mgmt,62,Mkt&HR,60.85,260000
12,M,68.4,Commerce,78.3,Comm&Mgmt,60,Mkt&Fin,63.7,250000
13,F,55,Science,65,Comm&Mgmt,62,Mkt&HR,65.04,
14,F,87,Commerce,59,Comm&Mgmt,68,Mkt&Fin,68.63,218000
15,M,,Commerce,50,Comm&Mgmt,76,Mkt&HR,54.96,
16,F,75,Commerce,69,Comm&Mgmt,72,Mkt&Fin,64.66,200000
17,M,66.2,Commerce,65.6,Comm&Mgmt,60,Mkt&Fin,62.54,300000
18,F,67,Commerce,64,Comm&Mgmt,60,Mkt&Fin,,
19,F,,Commerce,64,Comm&Mgmt,68,Mkt&HR,64.08,
20,M,67,Arts,,Comm&Mgmt,50.48,Mkt&Fin,77.89,236000
21,M,65,Commerce,66,Comm&Mgmt,50,Mkt&HR,56.7,265000
22,F,76,Commerce,85,Comm&Mgmt,95,Mkt&Fin,69.06,393000
23,F,60.8,Science,72.23,Sci&Tech,55.53,Mkt&HR,68.81,360000
24,F,60,Science,64.74,Sci&Tech,92,Mkt&Fin,63.62,300000
25,M,97.7,Science,78.86,Sci&Tech,97.4,Mkt&Fin,74.01,360000
26,F,54.6,Commerce,50.2,Comm&Mgmt,76,Mkt&Fin,65.33,
27,M,79,Commerce,66,Comm&Mgmt,94,Mkt&Fin,57.55,240000
28,M,67,Commerce,66,Comm&Mgmt,68,Mkt&HR,57.69,265000
29,M,76.5,Commerce,67.5,Comm&Mgmt,73.35,Mkt&Fin,64.15,350000
30,M,67,Commerce,58,Comm&Mgmt,77,Mkt&Fin,51.29,
31,F,73.5,Commerce,73,Comm&Mgmt,52,Mkt&HR,56.7,250000
32,F,53,Science,65,Sci&Tech,64,Mkt&HR,58.32,
33,F,81,Commerce,66.4,Comm&Mgmt,50.89,Mkt&HR,62.21,278000
34,F,65,Science,81,Comm&Mgmt,88,Mkt&Fin,72.78,260000
35,M,51,Science,52,Others,68.44,Mkt&HR,62.77,
36,F,78,Commerce,72,Comm&Mgmt,71,Mkt&HR,62.74,300000
37,M,44,Commerce,57,Comm&Mgmt,64,Mkt&Fin,51.45,
38,F,76,Science,65.6,Sci&Tech,58,Mkt&HR,55.47,320000
39,F,58,Science,66,Comm&Mgmt,53.7,Mkt&HR,56.86,240000
40,M,68,Science,64,Sci&Tech,93,Mkt&Fin,62.56,411000
41,F,77,Commerce,80,Comm&Mgmt,60,Mkt&Fin,66.72,287000
42,F,63.16,Commerce,65,Comm&Mgmt,65,Mkt&HR,69.76,
43,M,39,Science,65,Others,63,Mkt&Fin,51.21,
44,M,87,Commerce,68,Comm&Mgmt,95,Mkt&HR,62.9,300000
45,F,73,Commerce,81,Comm&Mgmt,89,Mkt&Fin,69.7,200000
46,F,64,Science,72,Sci&Tech,,Mkt&HR,66.53,
47,F,71.98,Science,65.6,Comm&Mgmt,68,Mkt&HR,71.63,
48,M,60,Commerce,57,Comm&Mgmt,78,Mkt&Fin,54.55,204000
49,M,62,Commerce,68,Comm&Mgmt,64,Mkt&Fin,62.46,250000
50,F,37,Arts,52,Others,65,Mkt&HR,56.11,
51,F,73.2,Science,68.4,Comm&Mgmt,65,Mkt&HR,62.98,200000
52,M,61.12,Commerce,56.2,Comm&Mgmt,67,Mkt&HR,62.65,
53,F,45.83,Commerce,53,Comm&Mgmt,,Mkt&HR,65.49,
54,M,70,Science,72,Sci&Tech,87,Mkt&HR,71.04,450000
55,F,60,Science,69,Comm&Mgmt,,Mkt&HR,65.56,216000
56,M,66.6,Science,65,Comm&Mgmt,71,Mkt&HR,52.71,220000
57,M,71.4,Commerce,61.4,Comm&Mgmt,68,Mkt&Fin,66.88,240000
58,M,76,Commerce,74,Comm&Mgmt,80,Mkt&Fin,63.59,360000
59,M,62,Science,68,Comm&Mgmt,74,Mkt&Fin,57.99,268000
60,M,65.58,Science,72.11,Sci&Tech,57.6,Mkt&Fin,56.66,265000
61,M,70,Science,72,Comm&Mgmt,60,Mkt&Fin,57.24,260000
62,M,73.4,Commerce,66.89,Comm&Mgmt,61.6,Mkt&Fin,62.48,300000
63,F,64.2,Science,67.4,Sci&Tech,59,Mkt&Fin,59.69,240000
64,M,70,Commerce,64,Comm&Mgmt,68.5,Mkt&HR,59.5,
65,M,73,Commerce,75,Comm&Mgmt,61,Mkt&Fin,58.78,240000
66,M,47,Science,57,Comm&Mgmt,89.69,Mkt&HR,57.1,
67,M,74,Science,66,Comm&Mgmt,68.92,Mkt&HR,58.46,275000
68,M,78.5,Commerce,67,Comm&Mgmt,68.71,Mkt&Fin,60.99,275000
69,F,47,Commerce,72.7,Sci&Tech,79,Mkt&HR,59.24,
70,M,73,Science,66,Sci&Tech,70,Mkt&Fin,68.07,275000
71,M,61,Science,62,Sci&Tech,89,Mkt&Fin,65.45,360000
72,M,70.29,Commerce,71,Comm&Mgmt,95,Mkt&Fin,66.94,240000
73,M,67,Science,78,Comm&Mgmt,95.5,Mkt&Fin,68.53,240000
74,M,83.83,Commerce,71.72,Comm&Mgmt,86,Mkt&Fin,59.75,218000
75,M,64.8,Commerce,70.2,Comm&Mgmt,84.27,Mkt&Fin,67.2,336000
76,F,62,Commerce,77.5,Comm&Mgmt,74,Mkt&HR,67,
77,F,70.4,Arts,71.93,Comm&Mgmt,61,Mkt&Fin,64.27,230000
78,M,80,Science,65,Sci&Tech,69,Mkt&Fin,57.65,500000
79,M,90.9,Science,64.5,Sci&Tech,86.04,Mkt&Fin,59.42,270000
80,F,62,Science,66,Sci&Tech,75,Mkt&HR,67.99,
81,F,62,Commerce,69,Comm&Mgmt,67,Mkt&HR,62.35,240000
82,M,63,Science,67,Comm&Mgmt,86,Mkt&Fin,70.2,300000
83,M,67,Commerce,74,Comm&Mgmt,82,Mkt&Fin,60.44,
84,M,79,Science,68,Sci&Tech,84,Mkt&Fin,66.69,300000
85,M,63,Science,70,Sci&Tech,55,Mkt&Fin,62,300000
86,F,89.83,Commerce,77.2,Comm&Mgmt,78.74,Mkt&Fin,76.18,400000
87,M,63,Commerce,64,Comm&Mgmt,67,Mkt&Fin,57.03,220000
88,M,51,Science,60,Others,75,Mkt&HR,59.08,
89,F,62,Commerce,73,Comm&Mgmt,58,Mkt&HR,64.36,210000
90,F,75,Science,69,Sci&Tech,62,Mkt&HR,62.36,210000
91,F,90,Commerce,82,Comm&Mgmt,92,Mkt&Fin,68.03,300000
92,M,57,Commerce,50.8,Comm&Mgmt,67,Mkt&HR,62.79,
93,F,69,Science,66,Comm&Mgmt,72,Mkt&Fin,59.47,230000
94,M,62,Commerce,54,Comm&Mgmt,72,Mkt&HR,55.41,
95,M,62,Commerce,64,Comm&Mgmt,53.88,Mkt&Fin,54.97,260000
96,M,78,Commerce,65,Comm&Mgmt,95.46,Mkt&Fin,62.16,420000
97,F,70,Science,76,Comm&Mgmt,66,Mkt&Fin,64.44,300000
98,F,62.5,Commerce,61,Comm&Mgmt,93.91,Mkt&Fin,69.03,
99,F,73,Commerce,65,Comm&Mgmt,70,Mkt&Fin,57.31,220000
100,M,82,Commerce,63,Sci&Tech,50,Mkt&Fin,59.47,
101,F,57,Commerce,58,Comm&Mgmt,56.39,Mkt&HR,64.95,
102,M,72,Commerce,68,Comm&Mgmt,78,Mkt&HR,60.44,380000
103,F,61,Commerce,68,Comm&Mgmt,57.5,Mkt&Fin,61.31,300000
104,M,78,Science,73,Sci&Tech,85,Mkt&HR,65.83,240000
105,M,63,Science,65,Comm&Mgmt,55,Mkt&HR,58.23,360000
106,M,64,Science,58,Sci&Tech,85,Mkt&HR,55.3,
107,M,50,Science,54,Sci&Tech,71,Mkt&Fin,65.69,
108,M,90,Commerce,83,Comm&Mgmt,80,Mkt&HR,73.52,200000
109,M,82,Commerce,69,Comm&Mgmt,84,Mkt&Fin,58.31,300000
110,M,63,Science,65,Sci&Tech,86,Mkt&HR,56.09,
111,F,70,Science,72,Sci&Tech,57.2,Mkt&HR,54.8,250000
112,M,,Science,61,Sci&Tech,60,Mkt&HR,60.64,
113,M,61,Commerce,61,Comm&Mgmt,58,Mkt&HR,53.94,250000
114,F,79,Commerce,67,Comm&Mgmt,72.15,Mkt&Fin,63.08,280000
115,M,68,Science,69,Comm&Mgmt,53.7,Mkt&HR,55.01,250000
116,F,63,Science,66,Comm&Mgmt,89,Mkt&Fin,60.5,216000
117,M,72.8,Commerce,66.6,Comm&Mgmt,96,Mkt&Fin,70.85,300000
118,M,75,Science,73,Sci&Tech,80,Mkt&Fin,67.05,240000
119,M,80,Science,78,Sci&Tech,97,Mkt&HR,70.48,276000
120,M,68.4,Commerce,64.6,Comm&Mgmt,,Mkt&Fin,64.34,940000
121,M,40,Science,59,Comm&Mgmt,73,Mkt&HR,58.81,
122,F,67,Science,69.6,Sci&Tech,55.67,Mkt&HR,71.49,250000
123,F,66.8,Arts,69.3,Comm&Mgmt,80.4,Mkt&Fin,71,236000
124,M,59,Commerce,73,Comm&Mgmt,60,Mkt&HR,56.7,240000
125,M,71,Science,64.33,Others,64,Mkt&HR,61.26,250000
126,F,73,Commerce,73,Comm&Mgmt,75,Mkt&Fin,73.33,350000
127,F,61,Science,75.5,Sci&Tech,70,Mkt&Fin,68.2,210000
128,F,60,Science,69,Comm&Mgmt,55.5,Mkt&HR,58.4,250000
129,M,73.4,Science,77.72,Sci&Tech,81.2,Mkt&HR,76.26,400000
130,M,89.7,Commerce,66,Comm&Mgmt,90,Mkt&Fin,68.55,250000
131,M,65,Commerce,60,Comm&Mgmt,84,Mkt&Fin,64.15,
132,F,57,Science,62,Others,80,Mkt&Fin,60.78,360000
133,M,68,Commerce,64,Comm&Mgmt,74.4,Mkt&HR,53.49,300000
134,M,64,Commerce,77,Comm&Mgmt,65,Mkt&HR,60.98,250000
135,F,92,Commerce,72,Comm&Mgmt,94,Mkt&Fin,67.13,250000
136,F,56,Science,69,Comm&Mgmt,55.6,Mkt&HR,65.63,200000
137,F,59,Arts,64,Comm&Mgmt,78,Mkt&Fin,61.58,
138,M,63,Commerce,72,Comm&Mgmt,56,Mkt&HR,60.41,225000
139,F,64,Science,73,Sci&Tech,96,Mkt&Fin,71.77,250000
140,M,70,Commerce,59,Comm&Mgmt,58,Mkt&Fin,54.43,220000
141,M,64.8,Commerce,69.5,Comm&Mgmt,56,Mkt&Fin,56.94,265000
142,M,64,Science,60,Comm&Mgmt,60,Mkt&HR,61.9,
143,M,60,Science,73.43,Sci&Tech,60,Mkt&Fin,61.29,260000
144,M,64.89,Commerce,70.67,Comm&Mgmt,89,Mkt&Fin,60.39,300000
145,M,50,Arts,61,Comm&Mgmt,60,Mkt&Fin,58.52,
146,M,65.66,Science,71.25,Sci&Tech,72,Mkt&HR,63.23,400000
147,M,63,Science,66,Comm&Mgmt,85,Mkt&HR,55.14,233000
148,M,74,Commerce,65,Comm&Mgmt,83,Mkt&Fin,62.28,300000
149,F,86,Arts,56,Others,57,Mkt&Fin,64.08,240000
150,M,58,Arts,55,Comm&Mgmt,64.25,Mkt&HR,58.54,
151,M,58.66,Science,58,Sci&Tech,56,Mkt&Fin,61.3,690000
152,M,65,Commerce,75,Comm&Mgmt,83,Mkt&Fin,58.87,270000
153,F,60.5,Science,84,Sci&Tech,98,Mkt&Fin,65.25,240000
154,M,59,Science,65,Sci&Tech,86,Mkt&Fin,62.48,340000
155,M,63,Science,60,Comm&Mgmt,70,Mkt&Fin,53.2,250000
156,M,74.66,Commerce,59.9,Comm&Mgmt,56.15,Mkt&HR,65.99,
157,M,69.4,Science,65,Sci&Tech,80,Mkt&HR,52.72,255000
158,M,62.5,Commerce,60.9,Comm&Mgmt,93.4,Mkt&Fin,55.03,300000
159,M,63,Science,64,Sci&Tech,60,Mkt&Fin,61.87,
160,M,49,Commerce,58,Comm&Mgmt,62,Mkt&HR,60.59,
161,M,74,Science,65,Sci&Tech,75,Mkt&HR,72.29,300000
162,M,51,Commerce,57.5,Comm&Mgmt,57.63,Mkt&HR,62.72,
163,M,87.6,Commerce,77.25,Comm&Mgmt,75.2,Mkt&Fin,66.06,285000
164,M,67,Science,64,Sci&Tech,75,Mkt&Fin,66.46,500000
165,F,72.5,Commerce,63.35,Comm&Mgmt,53.04,Mkt&Fin,65.52,250000
166,F,78.33,Commerce,74,Comm&Mgmt,80,Mkt&Fin,74.56,
167,M,62,Commerce,60,Comm&Mgmt,63,Mkt&HR,52.38,240000
168,M,62,Science,67,Sci&Tech,58.1,Mkt&Fin,75.71,
169,F,51,Commerce,58,Comm&Mgmt,60,Mkt&HR,58.79,
170,M,42.16,Science,61.26,Sci&Tech,54.48,Mkt&HR,65.48,
171,F,67.2,Commerce,60,Comm&Mgmt,58.06,Mkt&HR,69.28,
172,M,80,Commerce,72,Comm&Mgmt,63.79,Mkt&Fin,66.04,290000
173,M,58,Commerce,56,Comm&Mgmt,84,Mkt&HR,52.64,300000
174,F,52,Science,55,Sci&Tech,67,Mkt&HR,59.32,
175,M,50.83,Science,64.27,Sci&Tech,64,Mkt&Fin,66.23,500000
176,M,62,Science,65,Sci&Tech,87.5,Mkt&HR,60.69,
177,F,60,Commerce,56,Comm&Mgmt,55,Mkt&HR,57.9,220000
178,F,97,Commerce,79,Comm&Mgmt,89,Mkt&Fin,70.81,650000
179,M,56,Science,68,Sci&Tech,73,Mkt&HR,68.07,350000
180,F,64,Science,64.2,Sci&Tech,75.5,Mkt&HR,72.14,
181,M,71.5,Commerce,62.8,Comm&Mgmt,57,Mkt&Fin,56.6,265000
182,M,60.33,Science,64.21,Sci&Tech,63,Mkt&HR,60.02,
183,M,65,Arts,57,Others,75,Mkt&Fin,59.81,
184,M,77,Commerce,69,Comm&Mgmt,60,Mkt&HR,61.82,276000
185,F,62.83,Commerce,59.79,Comm&Mgmt,60,Mkt&HR,57.29,
186,F,72,Science,78,Others,82,Mkt&HR,71.43,252000
187,F,64,Commerce,61,Comm&Mgmt,55,Mkt&Fin,62.93,
188,M,65.5,Science,67,Sci&Tech,95,Mkt&Fin,64.86,280000
189,M,47,Commerce,54.38,Comm&Mgmt,57,Mkt&Fin,56.13,
190,F,77.6,Commerce,69.2,Comm&Mgmt,95.65,Mkt&Fin,66.94,
191,F,70.2,Commerce,61,Comm&Mgmt,50,Mkt&Fin,62.5,
192,M,61,Science,72,Comm&Mgmt,72,Mkt&Fin,61.01,264000
193,M,61.4,Commerce,64.8,Comm&Mgmt,93.4,Mkt&Fin,57.34,270000
194,F,63,Arts,56,Others,80,Mkt&HR,56.63,300000
195,M,55,Commerce,56.3,Comm&Mgmt,59,Mkt&Fin,64.74,
196,M,76,Commerce,72,Comm&Mgmt,84,Mkt&HR,58.95,275000
197,M,63,Science,77.5,Sci&Tech,78,Mkt&Fin,54.48,250000
198,F,53,Science,91,Sci&Tech,59.32,Mkt&HR,69.71,260000
199,F,70,Commerce,65,Others,88,Mkt&HR,71.96,
200,M,65,Commerce,57,Comm&Mgmt,73,Mkt&HR,55.8,265000
201,M,60,Commerce,65,Comm&Mgmt,87.55,Mkt&Fin,52.81,300000
202,M,63,Science,58,Comm&Mgmt,79,Mkt&HR,58.44,
203,M,63,Science,66,Sci&Tech,61.28,Mkt&HR,60.11,240000
204,M,61.33,Commerce,56.87,Comm&Mgmt,66,Mkt&HR,58.3,260000
205,F,73,Commerce,73,Comm&Mgmt,80,Mkt&Fin,67.69,210000
206,M,62,Commerce,65,Comm&Mgmt,62,Mkt&Fin,56.81,250000
207,M,42,Science,60,Comm&Mgmt,97,Mkt&Fin,53.39,
208,M,78,Commerce,61,Comm&Mgmt,88.56,Mkt&Fin,71.55,300000
209,F,60,Science,65,Comm&Mgmt,92.66,Mkt&HR,62.92,
210,M,72,Commerce,65,Comm&Mgmt,67,Mkt&Fin,56.49,216000
211,M,82,Commerce,77.6,Comm&Mgmt,91,Mkt&Fin,74.49,400000
212,M,60,Science,72,Sci&Tech,74,Mkt&Fin,53.62,275000
213,M,67,Commerce,73,Comm&Mgmt,59,Mkt&Fin,69.72,295000
214,F,66,Commerce,58,Comm&Mgmt,70,Mkt&HR,60.23,204000
215,M,58,Science,53,Comm&Mgmt,89,Mkt&HR,60.22,